pin,address,billing_city,current_delq,prior_years,state_description,neighborhood,council_district,ward,tact,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
0001C00228000100,100 FORBES AVE,"PITTSBURGH, PA",0.03,1,Commercial,NA,,,,,,,,,
0001C01661000000,320 FORT DUQUESNE BLVD STE 300,"PITTSBURGH, PA",5527.4,3,Commercial,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00694858,40.44212402
0001C01661A03800,320 FORT DUQUESNE BLVD,"BALTIMORE, MD",4795.5,11,Commercial,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00675537,40.44211486
0001C01661B03800,320 FORT DUQUESNE BLVD STE 325,"PITTSBURGH, PA",2799.92,9,Commercial,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00666365,40.44213684
0001C01661E03100,320 FORT DUQUESNE BLVD,"KIRKWOOD VOORH, NJ",2780.86,11,Commercial,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00658219,40.44221003
0001C01662006800,320 FORT DUQUESNE BLVD UNIT 6-H,"PITTSBURGH, PA",2660.78,6,Residential,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00715146,40.44227561
0001C01662019500,320 FORT DUQUESNE BLVD UNIT 19-E,"PITTSBURGH, PA",2191.9,3,Residential,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00712176,40.44255277
0001C01662021800,320 FORT DUQUESNE BLVD UNIT 21-H,"PITTSBURGH, PA",1114.86,0,Residential,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00708857,40.44258974
0001C01662022200,320 FORT DUQUESNE BLVD UNIT 22-B,"PITTSBURGH, PA",1486.68,0,Residential,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00707695,40.44256369
0001C01662023500,320 FORT DUQUESNE BLVD UNIT 23-E,"PITTSBURGH, PA",2925.72,0,Residential,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00698063,40.44234799
0001C01662025500,320 FORT DUQUESNE BLVD UNIT 25-E,"PITTSBURGH, PA",2925.72,1,Residential,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00694628,40.44238587
0001C01662101100,320 FORT DUQUESNE BLVD UNIT 10-K,"PITTSBURGH, PA",3922.55,0,Residential,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00681214,40.44219862
0001C01662101400,320 FORT DUQUESNE BLVD UNIT 10-N,"TARRYTOWN, NY",2613.14,1,Residential,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00678849,40.44227326
0001C01662N02000,320 FORT DUQUESNE BLVD UNIT 20-N,"PITTSBURGH, PA",2065.74,8,Residential,Central Business District,6,2,42003020100,6,2,2,1-3,-80.00667568,40.44259902
0001D00117000000,502 LIBERTY AVE,"LOVELAND, OH",24301.5,0,Commercial,Central Business District,6,1,42003020100,6,1,2,1-3,-80.00335998,40.4413134
